feed_title,entry_title,entry_link,entry_published_date,entry_summary,entry_content
www.espn.com - TOP,Michigan stuns Ohio St. for 4th straight in rivalry,https://www.espn.com/college-football/story/_/id/42701461/michigan-upsets-ohio-state-4th-straight-win-rivalry,"Sat, 30 Nov 2024 17:40:29 EST","Michigan stunned No. 2 Ohio State 13-10 on Saturday, likely ending the Buckeyes' hopes of returning to the Big Ten title game next week.",Failed to fetch content
www.espn.com - TOP,Sources: UCF's Malzahn to helm FSU's offense,https://www.espn.com/college-football/story/_/id/42700592/sources-ucf-gus-malzahn-joining-fsu-offensive-coordinator,"Sat, 30 Nov 2024 17:40:29 EST","UCF coach Gus Malzahn is resigning to become the new offensive coordinator at Florida State, where he will be the Seminoles' primary playcaller.",Failed to fetch content
www.espn.com - TOP,"Bills get defensive boost, activate LB Milano off IR",https://www.espn.com/nfl/story/_/id/42701849/bills-lb-matt-milano-activated-ir-set-make-season-debut,"Sat, 30 Nov 2024 17:40:29 EST","Buffalo activated linebacker Matt Milano off injured reserve Saturday, giving the Bills' defense a big boost ahead of Sunday night's matchup with the 49ers in Orchard Park.",Failed to fetch content
www.espn.com - TOP,Shiffrin says initial scans clear after GS crash,https://www.espn.com/olympics/skiing/story/_/id/42699884/mikaela-shiffrin-tumbles-fencing-final-run,"Sat, 30 Nov 2024 17:40:29 EST","Mikaela Shiffrin said aside from an abrasion that was keeping her from moving, she was recovering well after crashing in her second run of a World Cup giant slalom race Saturday.",Failed to fetch content
www.espn.com - TOP,Stanford brings ex-star QB Luck 'home' as GM,https://www.espn.com/college-football/story/_/id/42693219/stanford-brings-ex-star-qb-andrew-luck-home-new-gm,"Sat, 30 Nov 2024 17:40:29 EST","Former Stanford star Andrew Luck is returning to the Cardinal to become the football program's general manager, he told ESPN in a phone interview.",Failed to fetch content
www.espn.com - TOP,5-star multisport star Harrison commits to Oregon,https://www.espn.com/college-football/story/_/id/42700085/oregon-football-hoops-lands-multisport-star-kendre-harrison,"Sat, 30 Nov 2024 17:40:29 EST","Five-star 2026 tight end Kendre' Harrison, No. 6 in the ESPN Junior 300, announced his commitment to Oregon, where he plans to play football and basketball.",Failed to fetch content
www.espn.com - TOP,Verstappen stripped of pole in Qatar qualifying,https://www.espn.com/f1/story/_/id/42702768/max-verstappen-stripped-pole-demoted-second,"Sat, 30 Nov 2024 17:40:29 EST",Max Verstappen has been stripped of his pole position at the Qatar Grand Prix after he was penalised one place on the grid for an incident in the final part of Saturday's qualifying session.,Failed to fetch content
www.espn.com - TOP,Hornets' Ball out at least 2 weeks with calf strain,https://www.espn.com/nba/story/_/id/42698517/hornets-lamelo-ball-least-2-weeks-calf-strain,"Sat, 30 Nov 2024 17:40:29 EST","LaMelo Ball has a strained left calf and will be reevaluated in two weeks, the Hornets announced. Ball has averaged 40.3 points in his past four games.",Failed to fetch content
www.espn.com - TOP,College football Rivalry Week live: What Ohio State loss means to CFP picture,https://www.espn.com/college-football/story/_/id/42646010/college-football-rivalry-week-2024-live-ohio-state-michigan-notre-dame-usc-oregon,"Sat, 30 Nov 2024 17:34:57 EST",There's more than pride on the line for Rivalry Week. There are conference title stakes and playoff implications.,Failed to fetch content
www.espn.com - TOP,"U.S.-England talking points: New faces fail to impress, Earps returns to form",https://www.espn.com/soccer/story/_/id/42624611/uswnt-england-draw-talking-points-yazmeen-ryan-emma-hayes-changes-sarina-wiegman-euros,"Sat, 30 Nov 2024 16:24:11 EST","The two top-ranked teams in women's soccer played out a 0-0 draw at Wembley on Saturday, with both the U.S. and England trying new things and failing to break through.",Failed to fetch content
